source_unit,ucum,basis
10*3/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
thou/cu mm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
thou/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
thousand/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
x10E3/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
10E3/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
th/cu mm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
th/mm3,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
K/cu.mm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
thou/cumm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
x10^3/cu mm,10*3/mm3,UCUM case-sensitive code: thousand per cubic millimetre; converted to 10*3/uL by unit_conversions.csv (1 mm3 = 1 uL)
M/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
M/µL,10*6/uL,UCUM case-sensitive code: million per microlitre
M/μL,10*6/uL,UCUM case-sensitive code: million per microlitre
M/mcL,10*6/uL,UCUM case-sensitive code: million per microlitre
x10^6/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
10^6/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
10*6/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
x10E6/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
10E6/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
mil/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
million/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
x10(6)/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
10^6/µL,10*6/uL,UCUM case-sensitive code: million per microlitre
x10^6/µL,10*6/uL,UCUM case-sensitive code: million per microlitre
mill/uL,10*6/uL,UCUM case-sensitive code: million per microlitre
10*6/µL,10*6/uL,UCUM case-sensitive code: million per microlitre
M/cu mm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
M/cumm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
M/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
M/mm^3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
10^6/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
x10^6/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
10*6/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
mil/cu mm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
mil/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
million/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
x10E6/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
10E6/mm3,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
mill/cu mm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
M/cu.mm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
mil/cumm,10*6/mm3,UCUM case-sensitive code: million per cubic millimetre; converted to 10*6/uL by unit_conversions.csv
10^9/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
x10^9/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
10*9/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
x10E9/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
10E9/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
giga/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
x10(9)/L,10*9/L,UCUM case-sensitive code: 10^9 per litre; converted to 10*3/uL by unit_conversions.csv (the same quantity)
10^12/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
x10^12/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
10*12/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
x10E12/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
10E12/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
tera/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
x10(12)/L,10*12/L,UCUM case-sensitive code: 10^12 per litre; converted to 10*6/uL by unit_conversions.csv (the same quantity)
/uL,/uL,UCUM case-sensitive code: per microlitre
/µL,/uL,UCUM case-sensitive code: per microlitre
/μL,/uL,UCUM case-sensitive code: per microlitre
/mcL,/uL,UCUM case-sensitive code: per microlitre
per uL,/uL,UCUM case-sensitive code: per microlitre
per microliter,/uL,UCUM case-sensitive code: per microlitre
1/uL,/uL,UCUM case-sensitive code: per microlitre
cells/uL,{cells}/uL,UCUM case-sensitive code: cells per microlitre
cells/µL,{cells}/uL,UCUM case-sensitive code: cells per microlitre
cells/μL,{cells}/uL,UCUM case-sensitive code: cells per microlitre
cells/mcL,{cells}/uL,UCUM case-sensitive code: cells per microlitre
cell/uL,{cells}/uL,UCUM case-sensitive code: cells per microlitre
/mm3,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
/cu mm,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
/cumm,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
/mm^3,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
per mm3,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
per cu mm,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
1/mm3,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
/cu.mm,/mm3,UCUM case-sensitive code: per cubic millimetre; converted to /uL by unit_conversions.csv
cells/mm3,{cells}/mm3,UCUM case-sensitive code: cells per cubic millimetre; converted to {cells}/uL by unit_conversions.csv
cells/cu mm,{cells}/mm3,UCUM case-sensitive code: cells per cubic millimetre; converted to {cells}/uL by unit_conversions.csv
cells/cumm,{cells}/mm3,UCUM case-sensitive code: cells per cubic millimetre; converted to {cells}/uL by unit_conversions.csv
cells/mm^3,{cells}/mm3,UCUM case-sensitive code: cells per cubic millimetre; converted to {cells}/uL by unit_conversions.csv
cell/mm3,{cells}/mm3,UCUM case-sensitive code: cells per cubic millimetre; converted to {cells}/uL by unit_conversions.csv
/mL,/mL,UCUM case-sensitive code: per millilitre
per mL,/mL,UCUM case-sensitive code: per millilitre
1/mL,/mL,UCUM case-sensitive code: per millilitre
cells/mL,{cells}/mL,UCUM case-sensitive code: cells per millilitre
/L,/L,UCUM case-sensitive code: per litre
per L,/L,UCUM case-sensitive code: per litre
1/L,/L,UCUM case-sensitive code: per litre
/hpf,/[HPF],UCUM case-sensitive code: per high-power field
per hpf,/[HPF],UCUM case-sensitive code: per high-power field
per high power field,/[HPF],UCUM case-sensitive code: per high-power field
/high power field,/[HPF],UCUM case-sensitive code: per high-power field
/lpf,/[LPF],UCUM case-sensitive code: per low-power field
per lpf,/[LPF],UCUM case-sensitive code: per low-power field
per low power field,/[LPF],UCUM case-sensitive code: per low-power field
/low power field,/[LPF],UCUM case-sensitive code: per low-power field
s,s,UCUM case-sensitive code: second
sec,s,UCUM case-sensitive code: second
secs,s,UCUM case-sensitive code: second
second,s,UCUM case-sensitive code: second
seconds,s,UCUM case-sensitive code: second
ms,ms,UCUM case-sensitive code: millisecond (ECG intervals)
msec,ms,UCUM case-sensitive code: millisecond (ECG intervals)
msecs,ms,UCUM case-sensitive code: millisecond (ECG intervals)
millisecond,ms,UCUM case-sensitive code: millisecond (ECG intervals)
milliseconds,ms,UCUM case-sensitive code: millisecond (ECG intervals)
us,us,UCUM case-sensitive code: microsecond
usec,us,UCUM case-sensitive code: microsecond
µs,us,UCUM case-sensitive code: microsecond
microsecond,us,UCUM case-sensitive code: microsecond
microseconds,us,UCUM case-sensitive code: microsecond
min,min,UCUM case-sensitive code: minute
mins,min,UCUM case-sensitive code: minute
minute,min,UCUM case-sensitive code: minute
minutes,min,UCUM case-sensitive code: minute
h,h,UCUM case-sensitive code: hour
hr,h,UCUM case-sensitive code: hour
hrs,h,UCUM case-sensitive code: hour
hour,h,UCUM case-sensitive code: hour
hours,h,UCUM case-sensitive code: hour
d,d,UCUM case-sensitive code: day
day,d,UCUM case-sensitive code: day
days,d,UCUM case-sensitive code: day
wk,wk,UCUM case-sensitive code: week
wks,wk,UCUM case-sensitive code: week
week,wk,UCUM case-sensitive code: week
weeks,wk,UCUM case-sensitive code: week
mo,mo,UCUM case-sensitive code: month
mos,mo,UCUM case-sensitive code: month
month,mo,UCUM case-sensitive code: month
months,mo,UCUM case-sensitive code: month
y,a,UCUM case-sensitive code: year (annum)
yr,a,UCUM case-sensitive code: year (annum)
yrs,a,UCUM case-sensitive code: year (annum)
year,a,UCUM case-sensitive code: year (annum)
years,a,UCUM case-sensitive code: year (annum)
/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
per min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
per minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
1/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
min-1,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
bpm,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
beats/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
beats per minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
beats/minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
b/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
breaths/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
breaths per minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
breaths/minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
br/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
resp/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
rpm,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
cpm,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
counts/min,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
/minute,/min,UCUM case-sensitive code: per minute; the OMOP convention for heart and respiratory rate
/h,/h,UCUM case-sensitive code: per hour
/hr,/h,UCUM case-sensitive code: per hour
per hour,/h,UCUM case-sensitive code: per hour
per hr,/h,UCUM case-sensitive code: per hour
1/h,/h,UCUM case-sensitive code: per hour
/hour,/h,UCUM case-sensitive code: per hour
/d,/d,UCUM case-sensitive code: per day
/day,/d,UCUM case-sensitive code: per day
per day,/d,UCUM case-sensitive code: per day
1/d,/d,UCUM case-sensitive code: per day
/wk,/wk,UCUM case-sensitive code: per week
/week,/wk,UCUM case-sensitive code: per week
per week,/wk,UCUM case-sensitive code: per week
/24h,/(24.h),UCUM case-sensitive code: per 24 hours
/24 h,/(24.h),UCUM case-sensitive code: per 24 hours
/24hr,/(24.h),UCUM case-sensitive code: per 24 hours
/24 hr,/(24.h),UCUM case-sensitive code: per 24 hours
per 24 hours,/(24.h),UCUM case-sensitive code: per 24 hours
per 24h,/(24.h),UCUM case-sensitive code: per 24 hours
mL/h,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
mL/hr,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
mL/hour,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
mls/hr,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
ml per hour,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
cc/hr,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
cc/h,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
mL/hrs,mL/h,UCUM case-sensitive code: millilitre per hour (infusion rate)
mL/min,mL/min,UCUM case-sensitive code: millilitre per minute
mL/minute,mL/min,UCUM case-sensitive code: millilitre per minute
cc/min,mL/min,UCUM case-sensitive code: millilitre per minute
ml per min,mL/min,UCUM case-sensitive code: millilitre per minute
mL/s,mL/s,UCUM case-sensitive code: millilitre per second
mL/sec,mL/s,UCUM case-sensitive code: millilitre per second
L/min,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
LPM,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
L/minute,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
liters/min,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
litres/min,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
l per min,L/min,UCUM case-sensitive code: litre per minute (oxygen flow)
L/h,L/h,UCUM case-sensitive code: litre per hour
L/hr,L/h,UCUM case-sensitive code: litre per hour
liters/hr,L/h,UCUM case-sensitive code: litre per hour
L/s,L/s,UCUM case-sensitive code: litre per second
L/sec,L/s,UCUM case-sensitive code: litre per second
mL/kg/h,mL/kg/h,UCUM case-sensitive code: millilitre per kilogram per hour
mL/kg/hr,mL/kg/h,UCUM case-sensitive code: millilitre per kilogram per hour
mL/kg/hour,mL/kg/h,UCUM case-sensitive code: millilitre per kilogram per hour
cc/kg/hr,mL/kg/h,UCUM case-sensitive code: millilitre per kilogram per hour
cc/kg/h,mL/kg/h,UCUM case-sensitive code: millilitre per kilogram per hour
mL/kg/min,mL/kg/min,UCUM case-sensitive code: millilitre per kilogram per minute
mL/kg/minute,mL/kg/min,UCUM case-sensitive code: millilitre per kilogram per minute
cc/kg/min,mL/kg/min,UCUM case-sensitive code: millilitre per kilogram per minute
mL/min/1.73m2,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73 m2,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73m^2,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73 m^2,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73sqm,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/{1.73_m2},mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/1.73m²,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
ml/min/1.73sq m,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mL/min/BSA,mL/min/{1.73_m2},UCUM case-sensitive code: millilitre per minute per 1.73 square metre (eGFR); OMOP's UCUM vocabulary spells it mL/min/(173.10*-2.m2)
mg/h,mg/h,UCUM case-sensitive code: milligram per hour
mg/hr,mg/h,UCUM case-sensitive code: milligram per hour
mg/hour,mg/h,UCUM case-sensitive code: milligram per hour
mg per hour,mg/h,UCUM case-sensitive code: milligram per hour
mg/hrs,mg/h,UCUM case-sensitive code: milligram per hour
mg/min,mg/min,UCUM case-sensitive code: milligram per minute
mg/minute,mg/min,UCUM case-sensitive code: milligram per minute
mg per min,mg/min,UCUM case-sensitive code: milligram per minute
mg/kg/h,mg/kg/h,UCUM case-sensitive code: milligram per kilogram per hour
mg/kg/hr,mg/kg/h,UCUM case-sensitive code: milligram per kilogram per hour
mg/kg/hour,mg/kg/h,UCUM case-sensitive code: milligram per kilogram per hour
mg/kg/min,mg/kg/min,UCUM case-sensitive code: milligram per kilogram per minute
mg/kg/minute,mg/kg/min,UCUM case-sensitive code: milligram per kilogram per minute
mg/kg/day,mg/kg/d,UCUM case-sensitive code: milligram per kilogram per day
mg/kg/d,mg/kg/d,UCUM case-sensitive code: milligram per kilogram per day
mcg/h,ug/h,UCUM case-sensitive code: microgram per hour
mcg/hr,ug/h,UCUM case-sensitive code: microgram per hour
ug/h,ug/h,UCUM case-sensitive code: microgram per hour
ug/hr,ug/h,UCUM case-sensitive code: microgram per hour
µg/h,ug/h,UCUM case-sensitive code: microgram per hour
µg/hr,ug/h,UCUM case-sensitive code: microgram per hour
mcg/hour,ug/h,UCUM case-sensitive code: microgram per hour
mcg/min,ug/min,UCUM case-sensitive code: microgram per minute
ug/min,ug/min,UCUM case-sensitive code: microgram per minute
µg/min,ug/min,UCUM case-sensitive code: microgram per minute
mcg/minute,ug/min,UCUM case-sensitive code: microgram per minute
mcg/kg/min,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
ug/kg/min,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
µg/kg/min,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
mcg/kg/minute,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
mcg per kg per min,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
mcg/kg/mins,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
μg/kg/min,ug/kg/min,UCUM case-sensitive code: microgram per kilogram per minute (vasoactive infusions)
mcg/kg/h,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
mcg/kg/hr,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
ug/kg/h,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
ug/kg/hr,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
µg/kg/h,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
µg/kg/hr,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
mcg/kg/hour,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
μg/kg/h,ug/kg/h,UCUM case-sensitive code: microgram per kilogram per hour
mcg/kg/day,ug/kg/d,UCUM case-sensitive code: microgram per kilogram per day
ug/kg/day,ug/kg/d,UCUM case-sensitive code: microgram per kilogram per day
mcg/kg/d,ug/kg/d,UCUM case-sensitive code: microgram per kilogram per day
ng/kg/min,ng/kg/min,UCUM case-sensitive code: nanogram per kilogram per minute
ng/kg/minute,ng/kg/min,UCUM case-sensitive code: nanogram per kilogram per minute
ng/kg/h,ng/kg/h,UCUM case-sensitive code: nanogram per kilogram per hour
ng/kg/hr,ng/kg/h,UCUM case-sensitive code: nanogram per kilogram per hour
g/h,g/h,UCUM case-sensitive code: gram per hour
g/hr,g/h,UCUM case-sensitive code: gram per hour
grams/hr,g/h,UCUM case-sensitive code: gram per hour
grams/hour,g/h,UCUM case-sensitive code: gram per hour
gm/hr,g/h,UCUM case-sensitive code: gram per hour
g/hour,g/h,UCUM case-sensitive code: gram per hour
g/min,g/min,UCUM case-sensitive code: gram per minute
drops/min,[drp]/min,UCUM case-sensitive code: drops per minute
gtt/min,[drp]/min,UCUM case-sensitive code: drops per minute
drops per minute,[drp]/min,UCUM case-sensitive code: drops per minute
gtts/min,[drp]/min,UCUM case-sensitive code: drops per minute
mm/h,mm/h,UCUM case-sensitive code: millimetre per hour (sedimentation rate)
mm/hr,mm/h,UCUM case-sensitive code: millimetre per hour (sedimentation rate)
mm/hour,mm/h,UCUM case-sensitive code: millimetre per hour (sedimentation rate)
cm/s,cm/s,UCUM case-sensitive code: centimetre per second (Doppler velocity)
cm/sec,cm/s,UCUM case-sensitive code: centimetre per second (Doppler velocity)
m/s,m/s,UCUM case-sensitive code: metre per second
m/sec,m/s,UCUM case-sensitive code: metre per second
mmHg,mm[Hg],UCUM case-sensitive code: millimetre of mercury
mm Hg,mm[Hg],UCUM case-sensitive code: millimetre of mercury
mm[Hg],mm[Hg],UCUM case-sensitive code: millimetre of mercury
torr,mm[Hg],UCUM case-sensitive code: millimetre of mercury
mm.Hg,mm[Hg],UCUM case-sensitive code: millimetre of mercury
mm of Hg,mm[Hg],UCUM case-sensitive code: millimetre of mercury
cmH2O,cm[H2O],UCUM case-sensitive code: centimetre of water
cm H2O,cm[H2O],UCUM case-sensitive code: centimetre of water
cm[H2O],cm[H2O],UCUM case-sensitive code: centimetre of water
cm of H2O,cm[H2O],UCUM case-sensitive code: centimetre of water
cm water,cm[H2O],UCUM case-sensitive code: centimetre of water
kPa,kPa,UCUM case-sensitive code: kilopascal
kilopascal,kPa,UCUM case-sensitive code: kilopascal
kilopascals,kPa,UCUM case-sensitive code: kilopascal
Pa,Pa,UCUM case-sensitive code: pascal
pascal,Pa,UCUM case-sensitive code: pascal
bar,{bar},"UCUM case-sensitive code: bar; reconciled 2026-09-14 with reference/units/ctpe.csv: this is the spelling OMOP's UCUM vocabulary carries a concept for, and a unit that resolves to no concept normalizes to nothing downstream"
mbar,mbar,UCUM case-sensitive code: millibar
millibar,mbar,UCUM case-sensitive code: millibar
atm,atm,UCUM case-sensitive code: standard atmosphere
atmosphere,atm,UCUM case-sensitive code: standard atmosphere
atmospheres,atm,UCUM case-sensitive code: standard atmosphere
psi,[psi],UCUM case-sensitive code: pound per square inch
degF,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
deg F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
°F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
℉,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
F°,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
[degF],[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
fahrenheit,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
degrees F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
degrees fahrenheit,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
degree fahrenheit,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
deg. F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
degree F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
ºF,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
deg.F,[degF],UCUM case-sensitive code: degree Fahrenheit; converted to Cel by unit_conversions.csv
Cel,Cel,UCUM case-sensitive code: degree Celsius
degC,Cel,UCUM case-sensitive code: degree Celsius
deg C,Cel,UCUM case-sensitive code: degree Celsius
°C,Cel,UCUM case-sensitive code: degree Celsius
℃,Cel,UCUM case-sensitive code: degree Celsius
C°,Cel,UCUM case-sensitive code: degree Celsius
[degC],Cel,UCUM case-sensitive code: degree Celsius
celsius,Cel,UCUM case-sensitive code: degree Celsius
degrees C,Cel,UCUM case-sensitive code: degree Celsius
degrees celsius,Cel,UCUM case-sensitive code: degree Celsius
degree celsius,Cel,UCUM case-sensitive code: degree Celsius
deg. C,Cel,UCUM case-sensitive code: degree Celsius
degree C,Cel,UCUM case-sensitive code: degree Celsius
centigrade,Cel,UCUM case-sensitive code: degree Celsius
ºC,Cel,UCUM case-sensitive code: degree Celsius
deg.C,Cel,UCUM case-sensitive code: degree Celsius
cm,cm,UCUM case-sensitive code: centimetre
cms,cm,UCUM case-sensitive code: centimetre
centimeter,cm,UCUM case-sensitive code: centimetre
centimeters,cm,UCUM case-sensitive code: centimetre
centimetre,cm,UCUM case-sensitive code: centimetre
centimetres,cm,UCUM case-sensitive code: centimetre
mm,mm,UCUM case-sensitive code: millimetre
millimeter,mm,UCUM case-sensitive code: millimetre
millimeters,mm,UCUM case-sensitive code: millimetre
millimetre,mm,UCUM case-sensitive code: millimetre
millimetres,mm,UCUM case-sensitive code: millimetre
m,m,UCUM case-sensitive code: metre
meter,m,UCUM case-sensitive code: metre
meters,m,UCUM case-sensitive code: metre
metre,m,UCUM case-sensitive code: metre
metres,m,UCUM case-sensitive code: metre
um,um,UCUM case-sensitive code: micrometre
µm,um,UCUM case-sensitive code: micrometre
μm,um,UCUM case-sensitive code: micrometre
micron,um,UCUM case-sensitive code: micrometre
microns,um,UCUM case-sensitive code: micrometre
micrometer,um,UCUM case-sensitive code: micrometre
in,[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
inch,[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
inches,[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
[in_i],[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
in_i,[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
ins,[in_i],UCUM case-sensitive code: international inch; converted to cm by unit_conversions.csv
ft,[ft_i],UCUM case-sensitive code: international foot; converted to cm by unit_conversions.csv
foot,[ft_i],UCUM case-sensitive code: international foot; converted to cm by unit_conversions.csv
feet,[ft_i],UCUM case-sensitive code: international foot; converted to cm by unit_conversions.csv
[ft_i],[ft_i],UCUM case-sensitive code: international foot; converted to cm by unit_conversions.csv
ft_i,[ft_i],UCUM case-sensitive code: international foot; converted to cm by unit_conversions.csv
kg/m2,kg/m2,UCUM case-sensitive code: kilogram per square metre (body mass index)
